file,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
facebook_react__runtime_fuzz_tests.yml,0.261,0.6003,1.144,0.0064,0.2538,0.0048,0.3133,12.9606,0.1312
facebook_react__runtime_prereleases.yml,0.2693,0.8694,1.1317,0.0098,0.2525,0.0045,0.3425,13.2552,0.1306
facebook_react__runtime_prereleases_manual.yml,0.2786,1.2218,1.2229,0.0053,0.2791,0.0052,0.3303,15.0265,0.1234
facebook_react__runtime_prereleases_nightly.yml,0.2158,1.568,1.1689,0.0056,0.2438,0.0063,0.3158,13.4086,0.1281
facebook_react__runtime_releases_from_npm_manual.yml,0.2729,1.0451,1.2391,0.0057,0.2544,0.0061,0.3091,18.2592,0.1313
facebook_react__shared_check_maintainer.yml,0.2093,0.7729,2.272,0.0078,0.2441,0.0046,0.3247,12.8375,0.1345
facebook_react__shared_cleanup_merged_branch_caches.yml,0.2683,0.032,7.2846,0.0061,0.2334,0.0054,0.3329,13.5063,0.166
facebook_react__shared_cleanup_stale_branch_caches.yml,0.2575,0.0336,1.1734,0.01,0.2594,0.0052,0.3119,13.2859,0.2051
facebook_react__shared_close_direct_sync_branch_prs.yml,0.2031,0.8354,1.1323,0.0069,0.2607,0.0062,0.323,12.8229,0.1182
facebook_react__shared_label_core_team_prs.yml,0.2519,1.7796,1.7047,0.0082,0.309,0.006,0.3588,12.6465,0.1278
facebook_react__shared_lint.yml,0.2785,0.8351,1.1325,0.0103,0.2728,0.0045,0.3937,13.7879,0.1302
facebook_react__shared_stale.yml,0.2739,0.3975,1.188,0.0062,0.2602,0.0076,0.3314,15.8805,0.1164
facebook_rocksdb__benchmark-linux.yml,0.1897,0.4193,1.1152,0.0099,0.2705,0.0054,0.3372,14.3252,0.1327
facebook_rocksdb__nightly-candidate.yml,0.283,0.4108,1.1834,0.0062,0.2631,0.0056,0.3155,16.1125,0.1714
facebook_rocksdb__nightly.yml,0.2696,0.5069,2.2761,0.0059,0.2931,0.0073,0.3276,12.9488,0.1342
facebook_rocksdb__pr-jobs-candidate.yml,0.2716,0.4616,1.2386,0.0098,0.2513,0.0051,0.381,15.8531,0.1307
facebook_rocksdb__pr-jobs.yml,0.2721,1.0799,1.3081,0.0055,0.2497,0.0074,0.8134,12.7595,0.126
facebook_watchman__getdeps_linux.yml,0.2762,1.8579,1.3231,0.0061,0.2547,0.0046,0.3211,12.8347,0.1358
facebook_watchman__getdeps_mac.yml,0.3402,1.5223,1.302,0.0067,0.2489,0.0082,0.3142,13.3934,0.1313
facebook_watchman__getdeps_windows.yml,0.2882,1.5648,1.2715,0.0063,0.2705,0.0062,0.3136,15.5856,0.1336
facebook_watchman__package.yml,0.238,1.1106,1.1986,0.0106,0.2657,0.0054,0.3155,14.1714,0.1292
facebook_watchman__release.yml,0.284,1.6723,1.2055,0.0098,0.2669,0.0055,0.3646,13.2747,0.173
flutter_flutter__content-aware-hash.yml,0.2664,0.4163,1.275,0.0111,0.2716,0.0043,0.3305,13.8987,0.2
flutter_flutter__coverage.yml,0.229,0.0199,1.1316,0.0061,0.2935,0.0056,0.3468,12.7687,0.1211
flutter_flutter__easy-cp.yml,0.2666,0.0301,1.2013,0.005,0.267,0.0034,0.3185,15.2064,0.1274
flutter_flutter__files-changed.yml,0.3901,0.758,1.2406,0.0058,0.234,0.0042,0.3412,13.6374,0.1274
flutter_flutter__labeler.yml,0.2704,0.0379,1.3683,0.0076,0.2447,0.0038,0.3192,13.3139,0.1368
flutter_flutter__lock.yaml,0.266,0.0304,17.464,0.0067,0.2683,0.0058,0.3415,13.103,0.1247
flutter_flutter__merge-changelog.yml,0.2229,0.566,1.2476,0.01,0.2612,0.0038,0.3937,13.7018,0.1233
flutter_flutter__mirror.yml,0.2681,0.0414,1.1266,0.0059,0.2793,0.0051,0.3256,13.0724,0.1165
flutter_flutter__no-response.yaml,0.1982,0.0295,1.1384,0.0057,0.2755,0.0045,0.3249,13.8455,0.1337
flutter_flutter__tool-test-general.yml,0.2653,0.4766,12.0372,0.0055,0.2391,0.0044,0.3441,13.1121,0.1259
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.2702,4.9619,1.1796,0.0083,0.2781,0.0054,0.323,13.7003,0.1326
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.2672,0.8155,1.1837,0.0051,0.2742,0.0065,0.3412,17.5259,0.1302
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.2774,2.2046,1.3602,0.0102,0.2493,0.0051,0.7,13.1607,0.1292
freeCodeCamp_freeCodeCamp__curriculum-i18n-submodule.yml,0.2907,0.0171,1.1168,0.0101,0.2569,0.0068,0.34,13.6348,0.1321
freeCodeCamp_freeCodeCamp__deploy-api.yml,0.2679,0.3583,1.2247,0.0054,0.2733,0.0087,0.3066,15.4611,0.1203
freeCodeCamp_freeCodeCamp__deploy-client.yml,0.2834,0.3746,1.1658,0.0098,0.3239,0.005,0.4344,13.8452,0.141
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,0.2714,0.8804,2.23,0.0109,0.2527,0.0066,0.4834,13.6495,0.1423
freeCodeCamp_freeCodeCamp__docker-docr.yml,0.2675,0.9402,1.2539,0.0063,0.2644,0.0042,0.3514,14.7851,0.1305
freeCodeCamp_freeCodeCamp__docker-ghcr.yml,0.263,0.0255,1.1327,0.0054,0.232,0.0083,0.3657,13.9078,0.1243
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.3088,0.5855,1.23,0.0099,0.296,0.0041,0.4882,13.3976,0.1337
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.2595,0.4286,1.1091,0.0051,0.2482,0.0042,0.3293,14.5952,0.1309
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.2763,0.0369,1.2481,0.0062,0.2593,0.0055,0.3149,13.0242,0.1284
freeCodeCamp_freeCodeCamp__github-labeler.yaml,0.2657,0.0165,1.1052,0.0052,0.2699,0.0064,0.3549,14.4891,0.1166
freeCodeCamp_freeCodeCamp__github-no-i18n-via-prs.yml,0.2642,0.0209,1.3066,0.0057,0.2366,0.0046,0.3651,13.0559,0.1308
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.2665,0.025,1.1013,0.0105,0.4015,0.0082,0.3416,13.2658,0.1307
freeCodeCamp_freeCodeCamp__github-spam.yml,0.2647,0.0339,1.1602,0.011,0.2515,0.004,0.395,13.1192,0.1312
freeCodeCamp_freeCodeCamp__i18n-validate-builds.yml,0.2657,0.0179,1.1174,0.0103,0.2619,0.0043,0.3261,12.9218,0.129
freeCodeCamp_freeCodeCamp__i18n-validate-prs.yml,0.2699,0.0101,1.2329,0.0087,0.2617,0.0044,0.344,13.2988,0.1563
freeCodeCamp_freeCodeCamp__node.js-tests.yml,0.2163,0.0261,1.1382,0.0054,0.2473,0.0038,0.3332,13.3776,0.1269
github_gitignore__stale.yml,0.2676,0.0182,1.1595,0.0071,0.2762,0.0063,0.2944,12.5715,0.1303
goldbergyoni_nodebestpractices__automerge-prs.yml,0.2654,0.5031,1.1358,0.0102,0.2616,0.0055,0.3069,13.8422,0.2245
goldbergyoni_nodebestpractices__lint-and-generate-html-from-markdown.yml,0.2649,0.6234,1.1128,0.0064,0.2448,0.0087,0.3839,13.6239,0.117
goldbergyoni_nodebestpractices__update-date-in-last-update-badge.yml,0.2075,0.6286,1.1441,0.0064,0.2501,0.007,0.3156,13.0499,0.119
google_auto__ci.yml,0.2884,0.0248,1.2407,0.0114,0.2791,0.0049,0.4349,14.025,0.1349
google_blockly__appengine_deploy.yml,0.2756,1.0183,1.16,0.0063,0.2678,0.0048,0.34,13.4396,0.1339
google_blockly__assign_reviewers.yml,0.2667,0.6293,1.2012,0.0108,0.2662,0.0038,0.3237,13.3691,0.1339
google_blockly__browser_test.yml,0.2399,0.9053,1.1547,0.0057,0.2381,0.0087,0.3516,14.0983,0.1327
google_blockly__build.yml,0.2713,0.764,1.2014,0.0053,0.2646,0.0035,0.361,13.0444,0.1274
google_blockly__conventional-label.yml,0.2665,0.5564,1.2488,0.0046,0.2702,0.0053,0.3097,18.4973,0.1201
google_blockly__develop_freeze.yml,0.2104,0.0252,1.1905,0.0057,0.2812,0.0058,0.333,13.4944,0.1145
google_blockly__keyboard_plugin_test.yml,0.28,0.7209,1.137,0.0059,0.257,0.0041,0.3112,12.9255,0.1315
google_blockly__tag_module_cleanup.yml,0.2591,0.7012,1.2944,0.007,0.2423,0.0046,0.3064,15.117,0.1255
google_blockly__welcome_new_contributors.yml,0.2287,0.5496,1.413,0.0081,0.2916,0.0049,0.348,13.6394,0.1313
google_dagger__ci.yml,0.2715,0.9239,1.2171,0.0056,0.2655,0.0054,0.374,12.7543,0.1244
google_dagger__release.yml,0.3861,0.8952,1.6817,0.0113,0.2891,0.0055,0.3465,15.318,0.1314
google_go-github__linter.yml,0.2698,0.0193,1.1476,0.0066,0.2405,0.0059,0.3411,17.0569,0.12
google_go-github__tests.yml,0.3044,0.0239,1.2586,0.0113,0.2728,0.0043,0.4463,13.538,0.1339
google_go-querystring__linter.yml,0.2887,0.0158,2.2709,0.0054,0.2772,0.0061,0.3874,15.7478,0.1136
google_go-querystring__tests.yml,0.2801,0.007,1.2279,0.0055,0.2463,0.0044,0.4211,13.2578,0.1324
google_grr__build.yml,0.271,3.0282,1.4527,0.0098,0.2412,0.0047,0.313,13.5344,0.138
google_grr__publish-pypi.yml,0.2642,2.1718,1.1511,0.0071,0.2502,0.004,0.3317,12.5537,0.1374
google_jimfs__ci.yml,0.2667,0.021,1.1112,0.0053,0.2583,0.0055,0.3138,16.9153,0.1316
google_truth__ci.yml,0.2648,0.0221,1.5497,0.0081,0.2439,0.0035,0.3114,13.2403,0.1274
huggingface_transformers__add-model-like.yml,0.2658,0.8036,1.082,0.0117,0.2662,0.0051,0.3135,13.9978,0.1329
huggingface_transformers__assign-reviewers.yml,0.2864,0.774,1.1572,0.0064,0.2548,0.007,0.3662,13.3592,0.1362
huggingface_transformers__benchmark.yml,0.2697,0.3672,1.1163,0.0061,0.2475,0.0076,0.3159,13.0353,0.1277
huggingface_transformers__build-ci-docker-images.yml,0.2566,1.56,1.1576,0.0059,0.2459,0.0039,0.3288,15.008,0.1214
huggingface_transformers__build-docker-images.yml,0.2669,3.9424,2.2942,0.0094,0.2539,0.005,0.3234,13.7304,0.1644
huggingface_transformers__build-nightly-ci-docker-images.yml,0.23,1.2182,2.2835,0.0118,0.2587,0.0039,0.5949,13.4302,0.1251
huggingface_transformers__build-past-ci-docker-images.yml,0.2079,1.2361,1.1229,0.0051,0.2383,0.0063,0.3144,15.0558,0.1181
huggingface_transformers__build_documentation.yml,0.263,0.7123,1.2673,0.006,0.2491,0.0058,0.3049,14.9101,0.127
huggingface_transformers__build_pr_documentation.yml,0.3441,0.6272,1.1788,0.0148,0.2959,0.0089,0.3308,17.4415,0.1401
huggingface_transformers__check_failed_tests.yml,0.2846,0.6265,1.257,0.0062,0.2751,0.0046,0.316,13.0789,0.1313
huggingface_transformers__check_tiny_models.yml,0.2676,0.7727,2.1578,0.0053,0.2497,0.0038,0.326,16.1352,0.1549
huggingface_transformers__doctest_job.yml,0.2681,0.3912,1.1341,0.0068,0.2409,0.0057,0.356,12.8529,0.1349
huggingface_transformers__doctests.yml,0.2746,0.9131,1.1086,0.0064,0.2531,0.0079,0.3094,16.8504,0.1281
huggingface_transformers__model_jobs.yml,0.2764,0.4941,1.2489,0.0094,0.2882,0.0062,0.448,13.5545,0.1337
huggingface_transformers__model_jobs_intel_gaudi.yml,0.2877,0.6837,2.3145,0.0066,0.2718,0.0045,0.3266,13.2728,0.1277
huggingface_transformers__new_model_pr_merged_notification.yml,0.2779,0.363,1.1162,0.0066,0.2504,0.0053,0.3516,15.5513,0.1453
huggingface_transformers__pr-style-bot.yml,0.2503,0.589,1.1155,0.0065,0.2396,0.0041,0.3104,14.9276,0.127
huggingface_transformers__push-important-models.yml,0.2197,1.7739,1.2635,0.0059,0.2368,0.007,0.3204,14.0076,0.1334
huggingface_transformers__release-conda.yml,0.2618,0.6885,1.242,0.0091,0.2403,0.0043,0.35,13.8389,0.1259
huggingface_transformers__self-comment-ci.yml,0.2814,0.7415,1.4794,0.0096,0.2859,0.0052,0.4947,13.3593,0.1469
huggingface_transformers__self-nightly-caller.yml,0.2821,0.0258,1.1269,0.0073,0.2558,0.0036,0.3054,13.7532,0.127
huggingface_transformers__self-nightly-past-ci-caller.yml,0.2677,0.0074,2.3,0.0048,0.2514,0.0064,0.3322,15.2788,0.1342
huggingface_transformers__self-past-caller.yml,0.3144,0.0182,1.385,0.0074,0.345,0.0042,0.368,13.0715,0.1298
huggingface_transformers__self-push-amd-mi210-caller.yml,0.2754,0.0316,1.3305,0.0099,0.2735,0.0051,0.5102,15.1413,0.1282
huggingface_transformers__self-push-amd-mi250-caller.yml,0.2605,0.0501,1.2165,0.006,0.2366,0.0064,0.3459,14.297,0.1249
huggingface_transformers__self-push-amd-mi300-caller.yml,0.3179,0.0205,1.3152,0.0058,0.2329,0.0072,0.3636,13.4356,0.1181
huggingface_transformers__self-push-amd.yml,0.2658,0.7599,1.2565,0.0056,0.2698,0.0045,0.3796,15.3276,0.1366
huggingface_transformers__self-push-caller.yml,0.2629,0.4586,1.2389,0.0061,0.2901,0.0051,0.3111,13.4924,0.1325
huggingface_transformers__self-push.yml,0.2692,1.3863,1.3225,0.0056,0.2594,0.0072,0.3428,16.5144,0.1541
huggingface_transformers__self-scheduled-amd-caller.yml,0.268,0.0072,1.162,0.0097,0.2534,0.0054,0.4945,13.8945,0.1292
huggingface_transformers__self-scheduled-amd-mi250-caller.yml,0.2683,1.7521,1.1322,0.0054,0.2856,0.005,0.3226,14.2221,0.1313
huggingface_transformers__self-scheduled-amd-mi300-caller.yml,0.3101,2.462,1.2284,0.0066,0.2395,0.0074,0.3483,14.4566,0.1171
huggingface_transformers__self-scheduled-caller.yml,0.2874,0.4448,1.1219,0.0096,0.2627,0.0045,0.3534,14.3235,0.1562
huggingface_transformers__self-scheduled-intel-gaudi.yml,0.2688,0.9464,1.1249,0.0056,0.2394,0.0073,0.3106,14.9142,0.1692
huggingface_transformers__self-scheduled-intel-gaudi3-caller.yml,0.2953,0.0089,1.1522,0.0049,0.2651,0.0049,0.3335,17.5309,0.1187
huggingface_transformers__self-scheduled.yml,0.2676,0.941,1.2262,0.0095,0.2958,0.0054,0.3358,14.1921,0.1419
huggingface_transformers__slack-report.yml,0.2776,0.9367,1.0688,0.0102,0.2701,0.0044,0.4352,14.2432,0.1305
huggingface_transformers__ssh-runner.yml,0.2682,0.7313,1.2142,0.0059,0.251,0.0086,0.3373,13.3302,0.1206
huggingface_transformers__stale.yml,0.2788,0.6547,1.2028,0.0125,0.2648,0.0052,0.8674,13.6433,0.1238
huggingface_transformers__trufflehog.yml,0.2038,0.7801,1.225,0.0057,0.2437,0.0056,0.3043,13.5162,0.1244
huggingface_transformers__update_metdata.yml,0.2683,0.5264,1.089,0.0129,0.2574,0.0043,0.3275,14.1723,0.1252
huggingface_transformers__upload_pr_documentation.yml,0.2603,0.6227,1.1564,0.0057,0.2497,0.0054,0.3089,13.5944,0.1222
jwasham_coding-interview-university__links_checker.yml,0.2698,1.4405,1.1226,0.006,0.2616,0.0076,0.324,12.9252,0.135
krahets_hello-algo__c.yml,0.2642,0.3717,1.0874,0.0095,0.2469,0.0063,0.3586,13.799,0.1339
krahets_hello-algo__cpp.yml,0.2441,0.4231,1.0967,0.0056,0.2391,0.0042,0.3313,12.865,0.1261
krahets_hello-algo__dart.yml,0.2663,1.7204,1.0988,0.0065,0.2529,0.0042,0.3129,13.9462,0.1255
krahets_hello-algo__dotnet.yml,0.2023,0.8382,1.1207,0.0112,0.2487,0.0042,0.3223,17.1327,0.1287
krahets_hello-algo__go.yml,0.2802,0.6684,2.2412,0.0079,0.2616,0.0055,0.3735,13.4859,0.1248
krahets_hello-algo__java.yml,0.2588,0.7022,1.0621,0.0144,0.2567,0.0046,0.3476,14.2351,0.1265
krahets_hello-algo__javascript.yml,0.2686,1.7325,1.1117,0.0053,0.2394,0.0048,0.3172,13.6231,0.1199
krahets_hello-algo__kotlin.yml,0.268,0.5429,1.152,0.0056,0.2735,0.0043,0.3245,15.9157,0.1546
krahets_hello-algo__python.yml,0.2651,0.524,1.1571,0.0068,0.2819,0.0044,0.3452,13.9551,0.1363
krahets_hello-algo__ruby.yml,0.2689,1.3547,1.1769,0.0091,0.2536,0.0045,0.4513,13.6341,0.13
krahets_hello-algo__rust.yml,0.2542,0.7322,1.0881,0.0058,0.2549,0.0043,0.3562,17.804,0.1288
krahets_hello-algo__swift.yml,0.2595,0.4217,2.1466,0.01,0.3272,0.0053,0.3342,13.3126,0.1545
krahets_hello-algo__typescript.yml,0.205,0.6299,1.1435,0.0068,0.2743,0.0057,0.3255,12.9801,0.1213
langchain-ai_langchain___compile_integration_test.yml,0.2694,0.5029,2.2549,0.0051,0.2494,0.0086,0.3339,18.7556,0.127
langchain-ai_langchain___integration_test.yml,0.2605,0.4555,4.4794,0.0065,0.2444,0.0063,0.329,14.2252,0.1598
langchain-ai_langchain___lint.yml,0.2718,0.4607,2.2867,0.0117,0.2432,0.0053,0.3341,13.1918,0.1259
langchain-ai_langchain___release.yml,0.2666,2.0779,1.2547,0.0057,0.2453,0.0054,0.3539,12.8055,0.1266
langchain-ai_langchain___test.yml,0.2671,0.4913,1.1218,0.008,0.25,0.0036,1.3486,13.9399,0.1195
langchain-ai_langchain___test_doc_imports.yml,0.2643,0.3991,1.1367,0.0073,0.2856,0.0087,0.335,14.5192,0.1311
langchain-ai_langchain___test_pydantic.yml,0.2658,0.3751,1.1109,0.0058,0.2496,0.0065,0.3405,17.5812,0.124
langchain-ai_langchain___test_release.yml,0.2947,1.5581,1.1898,0.0091,0.2584,0.0059,0.3103,12.7456,0.1342
langchain-ai_langchain__api_doc_build.yml,0.2036,1.1616,1.1703,0.0054,0.2493,0.0056,0.3244,20.0467,0.1331
langchain-ai_langchain__check-broken-links.yml,0.2752,0.6205,1.1632,0.0068,0.2441,0.0047,0.3082,15.0042,0.1193
langchain-ai_langchain__check_core_versions.yml,0.2801,0.4406,1.1772,0.0098,0.3962,0.0065,0.4753,14.3303,0.1447
langchain-ai_langchain__check_diffs.yml,0.2141,0.7979,1.1625,0.0052,0.2573,0.0038,0.3327,13.452,0.1227
langchain-ai_langchain__check_new_docs.yml,0.2814,0.9229,1.3297,0.01,0.283,0.0043,0.4015,13.7133,0.1291
langchain-ai_langchain__codespell.yml,0.2637,0.4473,1.153,0.0051,0.3284,0.0052,0.3173,19.7029,0.1277
langchain-ai_langchain__codspeed.yml,0.2697,1.9935,2.2385,0.0053,0.2758,0.0069,0.3248,12.9945,0.1204
langchain-ai_langchain__people.yml,0.2721,0.4106,1.1349,0.0096,0.2495,0.0036,0.3068,14.4417,0.21
langchain-ai_langchain__run_notebooks.yml,0.2646,1.2218,1.1352,0.0066,0.2486,0.0049,0.3275,13.0045,0.1229
langchain-ai_langchain__scheduled_test.yml,0.2448,1.0639,1.1759,0.0065,0.2635,0.0057,0.3528,13.0453,0.1309
langgenius_dify__api-tests.yml,0.2738,0.7841,1.1753,0.0049,0.3273,0.004,0.3396,13.7364,0.1243
langgenius_dify__build-push.yml,0.2672,1.7752,1.2041,0.005,0.2347,0.0063,0.3179,12.1815,0.1228
langgenius_dify__db-migration-test.yml,0.2622,0.727,2.3033,0.0056,0.2567,0.0047,0.3347,13.9972,0.1259
langgenius_dify__deploy-dev.yml,0.262,0.389,1.1733,0.0065,0.2459,0.0047,0.3219,13.1109,0.1155
langgenius_dify__deploy-enterprise.yml,0.2615,0.3716,1.184,0.0048,0.2389,0.0048,0.3373,34.6516,0.1286
langgenius_dify__deploy-rag-dev.yml,0.2677,0.356,1.1847,0.0055,0.2649,0.0058,0.3053,13.4727,0.1197
langgenius_dify__docker-build.yml,0.2808,1.0414,1.3369,0.0127,0.3541,0.0046,0.3733,13.2369,0.1323
langgenius_dify__stale.yml,0.2645,0.5432,1.1168,0.0054,0.2634,0.0054,0.3381,12.6802,0.1327
langgenius_dify__style.yml,0.2701,1.6412,1.1417,0.008,0.2511,0.0052,0.3172,13.4172,0.1533
langgenius_dify__tool-test-sdks.yaml,0.2684,0.5682,1.1302,0.0064,0.2939,0.0057,0.3454,13.8111,0.1202
langgenius_dify__translate-i18n-base-on-english.yml,0.2105,1.1194,1.1959,0.0063,0.2543,0.0055,0.3715,17.6698,0.1358
langgenius_dify__vdb-tests.yml,0.2664,0.7863,1.1624,0.0066,0.2386,0.0039,0.3191,15.5553,0.1149
langgenius_dify__web-tests.yml,0.2612,1.7768,1.0951,0.0054,0.2745,0.0052,0.379,17.9075,0.1269
microsoft_PowerToys__dependency-review.yml,0.2067,0.9494,1.1596,0.0067,0.2599,0.0052,0.3661,13.3422,0.1239
microsoft_PowerToys__msstore-submissions.yml,0.2063,2.8812,1.142,0.0049,0.2626,0.0068,0.3727,15.7325,0.1259
microsoft_PowerToys__package-submissions.yml,0.2808,0.0201,1.1931,0.0118,0.2585,0.0055,0.312,13.7285,0.1243
microsoft_PowerToys__spelling2.yml,0.258,0.0367,1.1642,0.0053,0.2424,0.0042,0.3707,13.1703,0.1246
microsoft_TypeScript__accept-baselines-fix-lints.yaml,0.2649,0.0186,1.2571,0.01,0.2599,0.0045,0.3304,14.98,0.1309
microsoft_TypeScript__ci.yml,0.2938,0.0232,1.1904,0.006,0.2574,0.0073,0.3292,15.4774,0.1269
microsoft_TypeScript__close-issues.yml,0.2768,0.022,1.1446,0.0173,0.2519,0.0074,0.3316,14.8924,0.1234
microsoft_TypeScript__codeql.yml,0.3135,0.0244,1.2439,0.0053,0.2446,0.0061,0.3155,15.738,0.178
microsoft_TypeScript__copilot-setup-steps.yml,0.2704,0.0185,1.1024,0.0059,0.2395,0.0082,0.3282,12.9753,0.1295
microsoft_TypeScript__create-cherry-pick-pr.yml,0.2622,0.865,1.1636,0.0052,0.2645,0.0052,0.3671,12.7804,0.1416
microsoft_TypeScript__error-deltas-watchdog.yaml,0.267,0.0209,1.1139,0.007,0.2939,0.0068,0.3064,13.8632,0.1338
microsoft_TypeScript__insiders.yaml,0.2707,0.0196,1.21,0.0052,0.2558,0.0042,0.3394,14.3873,0.1236
microsoft_TypeScript__lkg.yml,0.2122,0.0149,1.1494,0.0048,0.2498,0.0045,0.3059,17.943,0.1219
microsoft_TypeScript__new-release-branch.yaml,0.2713,0.9289,1.1333,0.0053,0.3278,0.0039,0.3263,13.8397,0.1315
microsoft_TypeScript__nightly.yaml,0.2732,0.0202,1.2606,0.0054,0.2733,0.0046,0.3066,13.447,0.1195
microsoft_TypeScript__pr-modified-files.yml,0.2603,0.0194,1.1663,0.0048,0.2604,0.0051,0.3106,13.8154,0.129
microsoft_TypeScript__release-branch-artifact.yaml,0.2719,0.0124,1.2831,0.0076,0.2369,0.0077,0.3417,13.925,0.1223
microsoft_TypeScript__scorecard.yml,0.2668,0.0121,1.2313,0.0049,0.259,0.0064,0.3195,17.6205,0.1168
microsoft_TypeScript__set-version.yaml,0.2283,0.7021,1.2045,0.0066,0.339,0.0041,0.3081,13.2752,0.1204
microsoft_TypeScript__sync-branch.yaml,0.2674,0.8471,1.4367,0.0073,0.2494,0.0079,0.3142,13.4557,0.136
microsoft_TypeScript__sync-wiki.yml,0.2604,0.0067,1.1788,0.0053,0.2401,0.0057,0.362,13.5006,0.1465
microsoft_TypeScript__twoslash-repros.yaml,0.2668,0.8488,1.2091,0.0065,0.2546,0.0052,0.3111,16.0598,0.1233
microsoft_TypeScript__update-package-lock.yaml,0.2627,0.0177,1.2334,0.0056,0.2469,0.0046,0.3169,15.0354,0.149
microsoft_terminal__addToProject.yml,0.2668,0.3813,1.2119,0.006,0.243,0.0065,0.3335,16.0767,0.1371
microsoft_terminal__spelling2.yml,0.2768,0.5201,1.1835,0.0061,0.2615,0.0041,0.3235,13.1869,0.129
microsoft_terminal__winget.yml,0.2637,0.0178,2.2196,0.0058,0.3423,0.008,0.3324,17.1465,0.1227
microsoft_vscode__basic.yml,0.267,0.8353,1.1701,0.0054,0.2542,0.0054,0.3538,12.6134,0.1318
microsoft_vscode__ci.yml,0.2511,1.0848,1.1861,0.0053,0.2592,0.0058,0.3283,13.7283,0.1302
microsoft_vscode__monaco-editor.yml,0.2652,0.9336,1.1883,0.0099,0.2495,0.0042,0.3827,13.166,0.1281
microsoft_vscode__no-package-lock-changes.yml,0.2677,0.0352,1.388,0.0105,0.2678,0.0046,0.6142,13.6147,0.1283
microsoft_vscode__no-yarn-lock-changes.yml,0.263,0.0114,1.1678,0.0055,0.2386,0.0059,0.317,12.652,0.1226
microsoft_vscode__telemetry.yml,0.2763,1.2191,1.2173,0.0059,0.3042,0.0057,0.3109,13.2532,0.1263
mrdoob_three.js__ci.yml,0.2773,0.0225,1.1197,0.0105,0.3941,0.0046,0.4312,13.347,0.1275
mrdoob_three.js__codeql-code-scanning.yml,0.2472,0.0223,2.2742,0.0066,0.2416,0.0051,0.3533,14.1285,0.1275
mrdoob_three.js__read-size.yml,0.2654,0.0068,1.1801,0.0046,0.2701,0.0055,0.3271,13.2774,0.1279
mrdoob_three.js__report-size.yml,0.2616,0.0121,1.4921,0.0065,0.2397,0.0087,0.3079,12.6727,0.1223
n8n-io_n8n__benchmark-destroy-nightly.yml,0.2707,0.0085,1.2225,0.0097,0.2565,0.0038,0.3303,13.7059,0.1292
n8n-io_n8n__benchmark-nightly.yml,0.2628,0.0222,1.2191,0.0099,0.2591,0.0043,0.7594,13.3753,0.127
n8n-io_n8n__check-documentation-urls.yml,0.2973,0.0188,1.0984,0.0103,0.3206,0.0052,0.3826,13.6397,0.123
n8n-io_n8n__check-pr-title.yml,0.2652,0.0076,1.2165,0.0093,0.2597,0.0049,0.3313,13.5533,0.133
n8n-io_n8n__check-run-eligibility.yml,0.2664,0.0067,1.1174,0.0102,0.2651,0.0047,0.3752,13.3076,0.1637
n8n-io_n8n__chromatic.yml,0.29,0.027,2.7684,0.0078,0.2527,0.0052,0.3126,13.0915,0.1293
n8n-io_n8n__ci-master.yml,0.3193,0.0061,1.1835,0.0056,0.2537,0.0051,0.3519,12.6013,0.1301
n8n-io_n8n__ci-postgres-mysql.yml,0.2434,0.0084,1.1452,0.0051,0.2467,0.0063,0.3216,13.6191,0.132
n8n-io_n8n__ci-pull-requests.yml,0.2716,0.9518,1.101,0.0095,0.2618,0.0059,0.4289,13.4302,0.232
n8n-io_n8n__docker-base-image.yml,0.2701,0.0242,1.2398,0.0052,0.2434,0.008,0.3251,13.503,0.1148
n8n-io_n8n__docker-build-push.yml,0.2702,0.0262,1.2361,0.0056,0.2498,0.0051,0.3549,13.735,0.1419
n8n-io_n8n__docker-images-benchmark.yml,0.2876,0.0345,1.1875,0.0054,0.256,0.0098,0.3389,13.3917,0.1291
n8n-io_n8n__e2e-flaky.yml,0.2096,0.0125,1.1384,0.0068,0.2516,0.0063,0.4094,13.121,0.1157
n8n-io_n8n__e2e-reusable.yml,0.2835,0.0216,1.5638,0.007,0.3158,0.0049,0.356,13.6994,0.14
n8n-io_n8n__e2e-tests-pr.yml,0.2667,0.03,2.2684,0.0108,0.2668,0.0049,0.3159,13.4698,0.1231
n8n-io_n8n__e2e-tests.yml,0.2568,0.0264,1.1495,0.0071,0.2466,0.0038,0.315,13.7964,0.129
n8n-io_n8n__linting-reusable.yml,0.268,0.0055,1.1867,0.0064,0.2645,0.0068,0.3213,13.3778,0.1207
n8n-io_n8n__notify-pr-status.yml,0.2351,0.0314,1.1158,0.0071,0.2634,0.0076,0.4212,13.7937,0.1316
